persona_id,tier,style,allergen_stack,n_walls,survivors,pct_of_910,target_kcal,lbm_lb,fat_lo,fat_hi,carb_lo,carb_hi,prot_lo,prot_hi,keto,tgt_fat_per_100kcal,tgt_prot_per_100kcal,tgt_carb_per_100kcal,pool_fat_min,pool_fat_med,pool_fat_max,pool_prot_med,pool_carb_med,n_recipes_all4_in_band,pct_all4_in_band,n_fat_in_band,n_prot_in_band,n_carb_in_band,hull_feasible,hull_gap_bandunits,gap_axis,verdict
p000,HARD,none,"eggs|peanuts|tree nuts|dairy",4,413,45.38,2273,159.36,54,64,208,232,182,199,0,2.6,8.38,9.68,0.03,3.49,10.96,7.3,9.5,122,29.54,209,255,301,1,0,"","SOLVER-LIMITED"
p001,EASY,paleo,"shellfish",1,156,17.14,1933,101.34,34,41,240,264,116,127,0,1.94,6.29,13.04,0.03,4.68,10.96,5.74,8.64,23,14.74,40,94,75,1,0,"","SOLVER-LIMITED"
p002,EASY,kosher,"peanuts|dairy|shellfish|cilantro",4,418,45.93,1543,152.22,52,61,40,64,174,190,0,3.66,11.8,3.37,0.03,3.46,10.96,6.76,9.84,2,0.48,254,129,36,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p003,EASY,mediterranean,"",0,814,89.45,2092,170.48,58,68,141,165,194,213,0,3.01,9.73,7.31,0.03,4.17,10.96,5.58,9.78,89,10.93,393,285,434,1,0,"","SOLVER-LIMITED"
p004,IMPOSSIBLE,none,"dairy|eggs|gluten|soy",4,209,22.97,2221,228.89,78,92,54,78,261,286,0,3.83,12.31,2.97,0.03,3.37,10.96,6.43,9.42,1,0.48,130,68,22,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p005,HARD,keto,"eggs|pork",2,33,3.63,1263,106.99,65,81,10,30,122,134,1,5.78,10.13,1.58,0.43,6.66,10.96,8.18,1.48,15,45.45,30,20,31,1,0,"","SOLVER-LIMITED"
p006,HARD,none,"dairy|pork",2,516,56.7,1492,98.52,33,39,138,162,112,123,0,2.41,7.88,10.05,0.03,3.49,10.96,6.84,9.69,153,29.65,245,316,389,1,0,"","SOLVER-LIMITED"
p007,EASY,none,"pork|beef",2,728,80,1777,179.37,61,72,44,68,204,224,0,3.74,12.04,3.15,0.03,3.88,10.96,5.25,10.34,2,0.27,431,159,73,1,0,"","SOLVER-LIMITED (thin: <5% in band)"
p008,ROBUSTNESS,vegan,"",0,169,18.57,1960,122.61,42,49,204,228,140,153,0,2.32,7.47,11.02,0.03,3.81,10.96,5.08,11.54,32,18.93,64,84,134,1,0,"","SOLVER-LIMITED"
p009,EASY,keto,"dairy|gluten|soy",3,22,2.42,1734,101.43,115,143,10,30,116,127,1,7.44,7.01,1.15,0.43,6.8,10.96,8.25,1.66,11,50,20,16,15,1,0,"","SOLVER-LIMITED"
