recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrevpcyh004gwl5gnni3al5q,"Bacon & Eggs",either,557.1,41.7,41.7,2.49,7.49,7.49,0.45,0.6737
cmrevpcyt004lwl5gx6bidm0z,"Jerky & Pork Rinds Snack Plate",snack,409.2,38.1,24.9,6.6,6.09,9.31,1.61,0.5477
cmrj2tctf00r5wlwshnmjtoqv,"Arepa pelua",meal,533.98,49.95,32.59,9.58,6.1,9.35,1.79,0.5494
cmrj2td5300ttwlwszao8ubba,"Beef Asado",meal,1291.43,109.26,86.12,17.02,6.67,8.46,1.32,0.6002
cmrj2tese016hwlwsxluy0hd8,"Bistek",meal,431.22,32.9,28.57,10.27,6.63,7.63,2.38,0.5963
cmrj2teui016ywlws0zp8liq5,"Black bean & meat stew - feijoada",meal,1132.12,77.87,78.89,25.97,6.97,6.88,2.29,0.6271
cmrj2tgdz01jawlwsk5gx66m5,"Karbonader (Lean Beef Patties) with Caramelized Onions",meal,708.84,30.18,62.64,6.56,8.84,4.26,0.92,0.7953
cmrj2tggn01jtwlwsfpr46mf4,"Kenyan Beef Curry",meal,935.03,69.04,67.75,16.64,7.25,7.38,1.78,0.6521
cmrj2tgkb01kmwlwssb23001m,"Lakra me Mish Cabbage and Meat Stew",meal,324.47,34.82,17.77,5.51,5.48,10.73,1.7,0.4929
cmrj2tgq601m0wlwsywpofgzn,"Matambre a la Pizza",meal,824.61,81.36,48.58,17.73,5.89,9.87,2.15,0.5302
cmrj2th8301q0wlwsnx3cz6ga,"Paszteciki (Polish Pasties)",meal,1520.77,27.25,147.16,27.61,9.68,1.79,1.82,0.8709
cmrj2thoz01txwlwstiv1k3j4,"Satee",meal,2078.46,127.02,168.44,13.07,8.1,6.11,0.63,0.7294
cmrj2thrp01ukwlwsyjd1nnsi,"Seswaa",meal,590.5,68.1,32.6,3.1,5.52,11.53,0.52,0.4969
cmrj2ti7a01y5wlws2z7h786o,"Tafelspitz",meal,987.22,112.69,49.72,19.08,5.04,11.42,1.93,0.4533
cmrj2ti9z01yqwlws29w1qujh,"Thai beef stir-fry",meal,322.65,28.16,20.03,6.31,6.21,8.73,1.96,0.5587
cmrj2tibi01z1wlwslvd0p79d,"Traditional Croatian Goulash",meal,436.29,35.33,23.57,10.77,5.4,8.1,2.47,0.4862
cmrj2tkaz02evwlws246fya47,"Chicken wings with cumin, lemon & garlic",meal,593.87,55.61,38.85,6.5,6.54,9.36,1.1,0.5887
cmrj2tkcp02f8wlws12sdgbsp,"Chicken with saffron, raisins & pine nuts",meal,1285.62,63.41,101.42,29.13,7.89,4.93,2.27,0.71
cmrj2tkkd02gywlwsd0begnva,"Creamy Mustard Chicken",meal,873.04,41.11,71.97,15,8.24,4.71,1.72,0.7419
cmrj2tlrj02qxwlws7c0t2do4,"Piri-piri chicken and slaw",meal,958.51,73.36,65.42,16.7,6.83,7.65,1.74,0.6143
cmrj2tm2n02tgwlws321liodh,"Poulet Roti a l'Algerienne (Algerian Roast Chicken)",meal,231.3,5.4,21.1,5.1,9.12,2.33,2.2,0.821
cmrj2tmq402y9wlwsqahfcq5y,"Smoky chicken skewers",meal,560.05,54.64,35.72,1.76,6.38,9.76,0.31,0.574
cmrj2tmuv02zbwlws3pg3b96r,"Spanish Chicken",meal,608.04,69.41,32.53,6.12,5.35,11.42,1.01,0.4814
cmrj2tng00343wlws0zn460kj,"Thai chicken cakes with sweet chilli sauce",meal,611.26,21.35,52.65,13.29,8.61,3.49,2.17,0.7752
cmrj2twn0055gwlwshb3y6i3d,"Chilli ginger lamb chops",meal,852.51,31.7,77.86,7.28,9.13,3.72,0.85,0.822
cmrj2twow055vwlws2m6xj8rm,"Fårikål (Norwegian National Dish)",meal,735.73,70.49,46.77,8.4,6.36,9.58,1.14,0.5721
cmrj2twt8056vwlws810etonw,"Imam bayildi with BBQ lamb & tzatziki",meal,1092.49,56.06,86.91,26.8,7.96,5.13,2.45,0.716
cmrj2twwk057mwlwsofuom8hh,"Kapsalon",meal,699.04,36.46,56.66,16.64,8.11,5.22,2.38,0.7295
cmrj2tx2k058wwlwsds8g2gmc,"Keleya Zaara",meal,531.5,38.91,39.95,5.17,7.52,7.32,0.97,0.6765
cmrj2tyok05m2wlwst1uh8vwt,"Achiote Oil (Aceite Achiotado) Recipe",meal,996.8,0.5,109.2,3,10.96,0.05,0.3,0.986
cmrj2tyrp05mqwlwsnzlpw20u,"Bolita di Keshi",meal,819.2,44.1,64.1,16.4,7.82,5.38,2,0.7042
cmrj2tz0q05oowlwsip3w8e0p,"Duck Confit",meal,250.16,27.46,11.56,3.55,4.62,10.98,1.42,0.416
cmrj2tzz605wbwlwsx0pparce,"Shakshuka Feta Cheese",meal,167.36,9.73,12.46,4.18,7.44,5.81,2.5,0.6698
cmrj2u24h06d7wlwslg45in8o,"Chorizo & tomato salad",meal,576.71,7.17,57.64,11.89,10,1.24,2.06,0.8996
cmrj2u3i806oawlwsrvqxe0y5,"Slow-roasted ham with lemon, garlic & sage",meal,856.37,113.29,28.66,7.24,3.35,13.23,0.85,0.3012
cmrj2u3p306pnwlwsljzil38z,"Sweet and Sour Pork",meal,128.6,15.5,5.6,3.1,4.35,12.05,2.41,0.3919
cmrj2u47606towlws72ce5nxn,"Vietnamese pork salad",meal,470.89,33.72,33.15,10.96,7.04,7.16,2.33,0.6336
cmrj2u55u0719wlwsrkpa8v8b,"Barramundi with Moroccan spices",meal,216.21,10.09,18.33,3.09,8.48,4.67,1.43,0.7628
cmrj2u589071swlwshgfim8ca,"Camaro Grelhado Com Molho Cru (Grilled Prawns with Green Onion Sauce)",meal,125.4,27.82,0.53,2.46,0.43,22.18,1.96,0.0383
cmrj2u6bh07anwlws4athcnb2,"Gambas al ajillo",meal,479.35,61.37,24.99,5.88,5.21,12.8,1.23,0.4693
cmrj2u6f107bfwlwsp1jkx0rh,"Garlicky prawns with sherry",meal,213.02,24.95,10.64,4.88,4.99,11.71,2.29,0.4493
cmrj2u6ia07c5wlwsz8afzi19,"Honey Teriyaki Salmon",meal,334.4,25.5,24.4,1.6,7.3,7.63,0.48,0.6567
cmrj2u7ov07lqwlwsay8ehel9,"Quick salt & pepper squid",meal,192.3,16.18,11.91,4.68,6.19,8.42,2.43,0.5575
cmrj2u8pt07tzwlws9h0lxepi,"Sledz w Oleju (Polish Herrings)",meal,568.47,36.22,45.36,1.81,7.98,6.37,0.32,0.7181
cmrj2uauc089vwlwsuogmt93e,"Cacik",meal,525.94,41.64,35.02,12.39,6.66,7.92,2.36,0.5992
cmrj2udep08u9wlwso494ozpu,"Broccoli & Stilton soup",meal,1249.62,9.16,124.91,29.23,10,0.73,2.34,0.8996
cmrj2ujys0aaswlws9xb8z2b2,"Tortang Talong",meal,104.2,8.5,6.9,1.4,6.62,8.16,1.34,0.596
cms7pjmi1000wwlbk8yoezv92,"Baked Salmon with Buttered Asparagus",meal,559.32,45.75,38.41,8.26,6.87,8.18,1.48,0.618
cms7pjmi80013wlbkwughu7bl,"Chicken Thighs with Creamed Spinach",meal,817.5,59.3,59.88,10.73,7.33,7.25,1.31,0.6593
cms7pjmig001bwlbksrghymuq,"Steak with Garlic Mushrooms",meal,517.75,57.4,29.17,6.51,5.63,11.09,1.26,0.5071
cms7pjmiv001pwlbkyddkp88y,"Tuna Niçoise Salad Bowl",meal,524.2,54.06,29.91,10.18,5.71,10.31,1.94,0.5136
cms7pjmks003ewlbkbzjiva2m,"Hard-Boiled Eggs with Chilli Salt",snack,188.82,15.74,13.34,1.82,7.07,8.33,0.96,0.636
cms7pjmkz003jwlbkw5b3qoqg,"Cheese and Olive Plate",snack,317.8,15.03,26.98,5.67,8.49,4.73,1.78,0.764
