recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrevpcor000swl5g1h40af1g,"Cast-Iron Sirloin, Rice & Peppers",meal,880.7,79.49,30.9,65.01,3.51,9.03,7.38,0.3158
cmrevpcpb0011wl5g2m81r2ia,"Cast-Iron Sirloin, Potato & Cucumber",meal,821.7,79.73,30.34,55.75,3.69,9.7,6.78,0.3323
cmrevpcpy001awl5g9a8o25b5,"Skillet Chicken Thighs, Rice & Peppers",meal,990.86,84.97,40.23,65.01,4.06,8.58,6.56,0.3654
cmrevpcql001jwl5g0ikdkucb,"Skillet Chicken Thighs, Potato & Cucumber",meal,931.86,85.21,39.67,55.75,4.26,9.14,5.98,0.3831
cmrevpcr6001swl5get7ijrk9,"Ground Beef & Rice Skillet",meal,808.2,71.99,26.65,65.01,3.3,8.91,8.04,0.2968
cmrevpcrq0021wl5gyq2peags,"Ground Beef & Potato Hash",meal,709,72.75,18.2,61.5,2.57,10.26,8.67,0.231
cmrevpcs50028wl5gyztnypbq,"Pan-Seared Salmon, Rice & Peppers",meal,780.3,57.5,29.57,65,3.79,7.37,8.33,0.3411
cmrevpcsp002fwl5g3vr4wite,"Pan-Seared Salmon & Potato",meal,721.3,57.73,29.01,55.74,4.02,8,7.73,0.362
cmrevpcta002mwl5guzn8e8rm,"Street Chili",meal,1483.88,161.14,35.28,131,2.38,10.86,8.83,0.214
cmrevpctw002twl5gdov5q7ka,"Grilled Chicken Breast, Rice & Peppers",meal,719,84.4,10.05,65,1.4,11.74,9.04,0.1258
cmrevpcvo003jwl5guvnw6zs7,"Ground Elk, Rice & Peppers",meal,681.5,71.9,11.05,65,1.62,10.55,9.54,0.1459
cmrevpcwp003xwl5g4m1mkjga,"Elk Smokies & Potato",meal,567.5,31.14,24.49,58.94,4.32,5.49,10.39,0.3884
cmrevpcyt004lwl5gx6bidm0z,"Jerky & Pork Rinds Snack Plate",snack,409.2,38.1,24.9,6.6,6.09,9.31,1.61,0.5477
cmrevpcz5004qwl5gt3aso51q,"Greek Yogurt, Almonds & Berries",snack,502.7,44.1,22.7,35,4.52,8.77,6.96,0.4064
cmrevpczp004xwl5get0rorr3,"Pistachios & Jerky",snack,332,19.3,24,12.6,7.23,5.81,3.8,0.6506
cmrevpd0k0057wl5ggnxuvv9c,"Avocado Chips & Jerky",snack,289,14.2,18.65,15.65,6.45,4.91,5.42,0.5808
cmrfn2w780030wlg49qus3ftp,"Grilled Chicken Breast & Perogies",meal,930,77,22.2,99,2.39,8.28,10.65,0.2148
cmrfp3wtp000ewlj0rcs6iepn,"Tuna Cucumber Cracker Plate",snack,215.41,20.18,6.98,17.61,3.24,9.37,8.17,0.2915
cmrg943yg0000wl74sz88wxh4,"Ground Elk & Potato",meal,622.5,72.14,10.49,55.74,1.69,11.59,8.95,0.1517
cmrj2tcp800q7wlwsmsa16xqz,"Algerian Kefta (Meatballs)",meal,351.44,30.13,19.35,13.41,5.51,8.57,3.82,0.4956
cmrj2tcre00qowlws3z32d0wt,"Arepa Pabellón",meal,1323.71,80.18,84.69,67.96,6.4,6.06,5.13,0.5758
cmrj2tctf00r5wlwshnmjtoqv,"Arepa pelua",meal,533.98,49.95,32.59,9.58,6.1,9.35,1.79,0.5494
cmrj2tcwi00ruwlws9voqvh31,"Aussie Burgers",meal,344.1,35.5,10.1,28.4,2.94,10.32,8.25,0.2642
cmrj2tcxw00s5wlwsnxal50uf,"Beef and Broccoli Stir-Fry",meal,322.8,36.7,15.8,11,4.89,11.37,3.41,0.4405
cmrj2td1i00sywlws92ztztmc,"Beef and Mustard Pie",meal,1510.25,88.14,91.57,79.21,6.06,5.84,5.24,0.5457
cmrj2td5300ttwlwszao8ubba,"Beef Asado",meal,1291.43,109.26,86.12,17.02,6.67,8.46,1.32,0.6002
cmrj2td8j00umwlwsz2zyol7o,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",meal,423.6,32.84,19.45,27.74,4.59,7.75,6.55,0.4132
cmrj2tdaz00v3wlwswkxw97wx,"Beef Brisket Pot Roast",meal,1626.3,150.77,65.28,131.27,4.01,9.27,8.07,0.3613
cmrj2tddx00vqwlwseo6pc1hn,"Beef Caldereta",meal,332.7,18.73,22.83,15.11,6.86,5.63,4.54,0.6175
cmrj2tdht00wjwlwsyzh36ga3,"Beef Dumpling Stew",meal,1150.8,67.52,54.21,93.08,4.71,5.87,8.09,0.4239
cmrj2tdmk00xmwlwsv05z7q46,"Beef Empanadas",meal,1138.95,78.23,35.39,128.75,3.11,6.87,11.3,0.2797
cmrj2tdqy00ynwlwsqk38z6o9,"Beef Lo Mein",meal,395.46,20.39,27.91,17.41,7.06,5.16,4.4,0.6353
cmrj2tdv500zmwlwsn65ophon,"BEEF LOK LAK (Lok Lak Sach Ko)",meal,629.49,62.16,33.23,20.45,5.28,9.87,3.25,0.4751
cmrj2tdz2010jwlwsjq6hkasn,"Beef Mandi",meal,1211.9,32.39,23.28,219.7,1.92,2.67,18.13,0.1729
cmrj2te240118wlws7wywvlp6,"Beef Mechado",meal,841.08,68.16,44.2,52.38,5.26,8.1,6.23,0.473
cmrj2te56011xwlwsr6h3ukje,"Beef pho",meal,426.13,33.44,14.47,51.87,3.39,7.85,12.17,0.3055
cmrj2te9d012wwlws424po6hx,"Beef pumpkin Stew",meal,1410.14,114.01,55.74,121.97,3.95,8.08,8.65,0.3557
cmrj2tecn013nwlwsg47o2ieg,"Beef stroganoff",meal,812.7,33.7,57.78,41.37,7.11,4.15,5.09,0.6398
cmrj2tefg014awlws094inn2l,"Beef Sunday Roast",meal,513.59,36.77,17.12,57.73,3.33,7.16,11.24,0.3
cmrj2tehs014rwlwsn6dj1gr6,"Big Mac",meal,836.99,38.99,64,30.64,7.65,4.66,3.66,0.6881
cmrj2tese016hwlwsxluy0hd8,"Bistek",meal,431.22,32.9,28.57,10.27,6.63,7.63,2.38,0.5963
cmrj2tf18018iwlwsofai8vzs,"Brun Lapskaus (Norwegian Beef Vegetable Stew)",meal,1178.55,71.7,81.15,41.1,6.89,6.08,3.49,0.6197
cmrj2tf480195wlwsgzeoni1g,"Cabbage with Ground Beef",meal,411.63,31.68,26.58,11.38,6.46,7.7,2.76,0.5812
cmrj2tf8301a0wlwshrp0eyw7,"Carbonada Criolla",meal,452.74,38.34,16.63,38.66,3.67,8.47,8.54,0.3307
cmrj2tfcs01b4wlwspszu8vr4,"Classic Tourtière",meal,1160.45,69.44,70.01,62.06,6.03,5.98,5.35,0.5429
cmrj2tfgj01bzwlwsiclxnmkz,"Corned Beef and Cabbage",meal,1973.82,155.11,54.57,212.46,2.76,7.86,10.76,0.2488
cmrj2tfhs01c8wlws9ww0m02i,"Corned Beef and Cabbage – Jamaican Style",meal,343.33,19.32,20.64,24.3,6.01,5.63,7.08,0.5411
cmrj2tfkn01cvwlwsqmr1tsmw,"Corned Beef Hash",meal,478.96,24.28,30.36,27.47,6.34,5.07,5.74,0.5705
cmrj2tfmu01dawlwswa6bl8hj,"Croatian lamb peka",meal,947.9,38.38,66.74,41.16,7.04,4.05,4.34,0.6337
cmrj2tfq401e1wlwstj0oaz7a,"Cumberland Pie",meal,1618.32,74.36,87.47,171.14,5.41,4.6,10.58,0.4865
cmrj2tftu01ewwlwssdyfmk3a,"Drunken noodles (pad kee mao)",meal,979.8,24.8,74.5,54.8,7.6,2.53,5.59,0.6843
cmrj2tfwj01fjwlwspz3r5krx,"Egyptian Fatteh",meal,1806.01,42,137.17,97.79,7.6,2.33,5.41,0.6836
cmrj2tg0q01gewlwsa48gnu4k,"Empanadas",meal,1277.72,53.51,72.26,104.04,5.66,4.19,8.14,0.509
cmrj2tg3z01h3wlwsz7rf0gdo,"Golabki (cabbage roll)",meal,899.49,54.73,38.14,83.99,4.24,6.08,9.34,0.3816
cmrj2tg6p01howlws2uk4qbpp,"Jamaican Beef Patties",meal,1682.55,77.74,98.8,119.89,5.87,4.62,7.13,0.5285
cmrj2tgbp01itwlwsff4ixg51,"Jiggs Dinner",meal,1098.33,82.01,40.67,102.58,3.7,7.47,9.34,0.3332
cmrj2tggn01jtwlwsfpr46mf4,"Kenyan Beef Curry",meal,935.03,69.04,67.75,16.64,7.25,7.38,1.78,0.6521
cmrj2tgkb01kmwlwssb23001m,"Lakra me Mish Cabbage and Meat Stew",meal,324.47,34.82,17.77,5.51,5.48,10.73,1.7,0.4929
cmrj2tgn501l9wlwsssitmq2g,"Lemongrass beef stew with noodles",meal,722.83,26.83,59.36,22.73,8.21,3.71,3.14,0.7391
cmrj2tgq601m0wlwsywpofgzn,"Matambre a la Pizza",meal,824.61,81.36,48.58,17.73,5.89,9.87,2.15,0.5302
cmrj2tgrz01mfwlwsw3y7m12b,"Minced Beef Pie",meal,848.9,42.3,49.9,56.19,5.88,4.98,6.62,0.529
cmrj2tgui01n0wlwsotxc0g0h,"Mini chilli beef pies",meal,993.05,31.29,62.98,76.42,6.34,3.15,7.7,0.5708
cmrj2tgxs01nrwlws8i917g2f,"Montreal Smoked Meat",meal,127.79,9.79,4.15,16.58,3.25,7.66,12.97,0.2924
cmrj2th2101oowlwsp7untu4c,"Moussaka",meal,444.28,43.74,19.24,23.67,4.33,9.85,5.33,0.3898
cmrj2th4801p5wlws0li1ggqi,"Pastel de Papas (Chilean Potato Pie)",meal,808.59,37.34,55.86,38.77,6.91,4.62,4.79,0.6218
cmrj2th8301q0wlwsnx3cz6ga,"Paszteciki (Polish Pasties)",meal,1520.77,27.25,147.16,27.61,9.68,1.79,1.82,0.8709
cmrj2thaz01qpwlwszge85ud6,"Pate Chinois",meal,631.03,35.37,32.12,53.21,5.09,5.6,8.43,0.4581
cmrj2thi701sfwlwsgm0j7u5k,"Red Peas Soup",meal,1102.44,83.41,39.91,111.41,3.62,7.57,10.11,0.3258
cmrj2thm601tawlws21s2x8a7,"Salt Beef and Beans",meal,502.17,28.39,30.63,29.6,6.1,5.65,5.89,0.549
cmrj2thoz01txwlwstiv1k3j4,"Satee",meal,2078.46,127.02,168.44,13.07,8.1,6.11,0.63,0.7294
cmrj2thrp01ukwlwsyjd1nnsi,"Seswaa",meal,590.5,68.1,32.6,3.1,5.52,11.53,0.52,0.4969
cmrj2thte01uxwlwsqweidpq2,"Soy-Glazed Meatloaves with Wasabi Mashed Potatoes & Roasted Carrots",meal,475.26,21.14,12.24,74.64,2.58,4.45,15.7,0.2318
cmrj2thw601vkwlwszdgp4j0u,"Steak & Vietnamese noodle salad",meal,256.34,16.26,12.67,20.77,4.94,6.34,8.1,0.4448
cmrj2thzh01wbwlwsbmq86fy2,"Steak and Kidney Pie",meal,647.35,21.34,41.91,46.33,6.47,3.3,7.16,0.5827
cmrj2ti2o01x0wlwssug2avdi,"Szechuan Beef",meal,335.33,19.31,22.64,14.42,6.75,5.76,4.3,0.6076
cmrj2ti7a01y5wlws2z7h786o,"Tafelspitz",meal,987.22,112.69,49.72,19.08,5.04,11.42,1.93,0.4533
cmrj2ti9z01yqwlws29w1qujh,"Thai beef stir-fry",meal,322.65,28.16,20.03,6.31,6.21,8.73,1.96,0.5587
cmrj2tibi01z1wlwslvd0p79d,"Traditional Croatian Goulash",meal,436.29,35.33,23.57,10.77,5.4,8.1,2.47,0.4862
cmrj2tiel01zqwlwstu8jjyf3,"Turkish lahmacun",meal,854.75,40.61,21.03,128.89,2.46,4.75,15.08,0.2215
cmrj2tii0020jwlwsld1aq10z,"Venezuelan Shredded Beef",meal,427.45,53.67,18.61,12.4,4.35,12.55,2.9,0.3919
