recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrevpcpb0011wl5g2m81r2ia,"Cast-Iron Sirloin, Potato & Cucumber",meal,821.7,79.73,30.34,55.75,3.69,9.7,6.78,0.3323
cmrevpcql001jwl5g0ikdkucb,"Skillet Chicken Thighs, Potato & Cucumber",meal,931.86,85.21,39.67,55.75,4.26,9.14,5.98,0.3831
cmrevpcrq0021wl5gyq2peags,"Ground Beef & Potato Hash",meal,709,72.75,18.2,61.5,2.57,10.26,8.67,0.231
cmrevpcsp002fwl5g3vr4wite,"Pan-Seared Salmon & Potato",meal,721.3,57.73,29.01,55.74,4.02,8,7.73,0.362
cmrevpcv8003cwl5ge0f588s7,"Turkey Sausage & Potato",meal,607.5,39.14,24.49,59.74,4.03,6.44,9.83,0.3628
cmrevpcwp003xwl5g4m1mkjga,"Elk Smokies & Potato",meal,567.5,31.14,24.49,58.94,4.32,5.49,10.39,0.3884
cmrevpcy5004bwl5gsicopbjv,"Perogies & Bacon",meal,924.6,37.2,40.2,99.84,4.35,4.02,10.8,0.3913
cmrevpcyh004gwl5gnni3al5q,"Bacon & Eggs",either,557.1,41.7,41.7,2.49,7.49,7.49,0.45,0.6737
cmrevpcyt004lwl5gx6bidm0z,"Jerky & Pork Rinds Snack Plate",snack,409.2,38.1,24.9,6.6,6.09,9.31,1.61,0.5477
cmrevpczp004xwl5get0rorr3,"Pistachios & Jerky",snack,332,19.3,24,12.6,7.23,5.81,3.8,0.6506
cmrevpd040052wl5g22ebc08z,"Pepperoni & Pistachios Plate",snack,319.2,12.4,26.8,9.1,8.4,3.88,2.85,0.7556
cmrevpd0k0057wl5ggnxuvv9c,"Avocado Chips & Jerky",snack,289,14.2,18.65,15.65,6.45,4.91,5.42,0.5808
cmrfn2w780030wlg49qus3ftp,"Grilled Chicken Breast & Perogies",meal,930,77,22.2,99,2.39,8.28,10.65,0.2148
cmrg943yg0000wl74sz88wxh4,"Ground Elk & Potato",meal,622.5,72.14,10.49,55.74,1.69,11.59,8.95,0.1517
cmrj2tcp800q7wlwsmsa16xqz,"Algerian Kefta (Meatballs)",meal,351.44,30.13,19.35,13.41,5.51,8.57,3.82,0.4956
cmrj2telh015kwlwsdpf1ag6n,"Bigos (Polish hunter's stew)",meal,1752.29,104.5,93.72,122.4,5.35,5.96,6.98,0.4814
cmrj2tf18018iwlwsofai8vzs,"Brun Lapskaus (Norwegian Beef Vegetable Stew)",meal,1178.55,71.7,81.15,41.1,6.89,6.08,3.49,0.6197
cmrj2tf480195wlwsgzeoni1g,"Cabbage with Ground Beef",meal,411.63,31.68,26.58,11.38,6.46,7.7,2.76,0.5812
cmrj2tfcs01b4wlwspszu8vr4,"Classic Tourtière",meal,1160.45,69.44,70.01,62.06,6.03,5.98,5.35,0.5429
cmrj2tfgj01bzwlwsiclxnmkz,"Corned Beef and Cabbage",meal,1973.82,155.11,54.57,212.46,2.76,7.86,10.76,0.2488
cmrj2tfkn01cvwlwsqmr1tsmw,"Corned Beef Hash",meal,478.96,24.28,30.36,27.47,6.34,5.07,5.74,0.5705
cmrj2tgbp01itwlwsff4ixg51,"Jiggs Dinner",meal,1098.33,82.01,40.67,102.58,3.7,7.47,9.34,0.3332
cmrj2tggn01jtwlwsfpr46mf4,"Kenyan Beef Curry",meal,935.03,69.04,67.75,16.64,7.25,7.38,1.78,0.6521
cmrj2tgkb01kmwlwssb23001m,"Lakra me Mish Cabbage and Meat Stew",meal,324.47,34.82,17.77,5.51,5.48,10.73,1.7,0.4929
cmrj2tii0020jwlwsld1aq10z,"Venezuelan Shredded Beef",meal,427.45,53.67,18.61,12.4,4.35,12.55,2.9,0.3919
cmrj2tisd022uwlwsj9ss5frl,"Bengali Chicken Curry with Potatoes",meal,403.02,43.07,12.91,27.76,3.2,10.69,6.89,0.2883
cmrj2tku402j5wlws1zhfqftr,"Honey Balsamic Chicken with Crispy Broccoli & Potatoes",meal,474.46,25.61,12.54,65.57,2.64,5.4,13.82,0.2379
cmrj2tkwo02jqwlwsbk01c600,"Jamaican Curry Chicken Recipe",meal,757.17,67.74,37.35,43.44,4.93,8.95,5.74,0.4439
cmrj2tm2n02tgwlws321liodh,"Poulet Roti a l'Algerienne (Algerian Roast Chicken)",meal,231.3,5.4,21.1,5.1,9.12,2.33,2.2,0.821
cmrj2tmdt02vwwlws5yawf66s,"Samlar Kari – Khmer Red Curry",meal,387.39,33.37,20.06,17.98,5.18,8.61,4.64,0.4661
cmrj2tmq402y9wlwsqahfcq5y,"Smoky chicken skewers",meal,560.05,54.64,35.72,1.76,6.38,9.76,0.31,0.574
cmrj2tmwt02zqwlwsjjxlmhp7,"Spanish chicken pie",meal,513.92,29.83,20.99,53.77,4.08,5.8,10.46,0.3675
cmrj2tmze0309wlwsxxzmph6y,"Spiced smoky barbecued chicken",meal,1191.29,110.12,60.96,62.77,5.12,9.24,5.27,0.4606
cmrj2tn90032jwlwsuv3efjkb,"Tajine de Poulet aux Carottes et Patates Douces (Chicken and Sweet Potato Tagine)",meal,405.47,38.21,16.86,25.85,4.16,9.42,6.38,0.3743
cmrj2tng00343wlws0zn460kj,"Thai chicken cakes with sweet chilli sauce",meal,611.26,21.35,52.65,13.29,8.61,3.49,2.17,0.7752
cmrj2tnj0034qwlws12zoyrei,"Thai drumsticks",meal,76.2,3,1,15.2,1.31,3.94,19.95,0.1181
cmrj2tods03bkwlwsj47bu5xy,"Arra të Mbushura me Fik Walnut Stuffed Figs (with Fig Syrup)",meal,394.1,8,32.8,23.9,8.32,2.03,6.06,0.749
cmrj2tohh03ccwlwsqtno35wa,"Authentic Laos Tapioca Pudding with Bananas",meal,129.42,0.99,3.84,24.16,2.96,0.76,18.67,0.2668
cmrj2topb03e0wlwsd9g6lmnq,"Banana Pancakes",meal,67.43,2.18,4.08,6,6.05,3.23,8.89,0.5444
cmrj2tp8x03iawlwsqql4872g,"Breadfruit in Butter Sauce Recipe",meal,164.74,1.29,14.68,8.48,8.91,0.78,5.15,0.802
cmrj2tplh03l1wlws5gyl68vz,"Caribbean Tamarind balls",meal,338.1,0,0.1,89.5,0.03,0,26.47,0.0027
cmrj2tpm903l6wlwsupbaxsio,"Cashew Ghoriba Biscuits",meal,378.81,10.05,22.03,39.37,5.82,2.65,10.39,0.5234
cmrj2tpo103ljwlwsdo7my366,"Cassava Cake",meal,413.76,1.75,1.41,100.55,0.34,0.42,24.3,0.0306
cmrj2tpt803mnwlwszfrregaq,"Chinon Apple Tarts",meal,590.2,12.28,25.3,85.17,4.29,2.08,14.43,0.3858
cmrj2tq1c03oiwlws9teuz86r,"Chocolate Avocado Mousse",meal,118.39,1.18,2.37,27.15,2,0.99,22.93,0.1801
cmrj2tqxg03vrwlws0hsnpre3,"Coconut quindim",meal,332.48,10.38,24.56,17.25,7.39,3.12,5.19,0.6649
cmrj2tt4c04d9wlws5ip65b66,"Laos Plantain Coconut Bake (Flourless Muffin)",meal,289.3,1.2,9.4,51.2,3.25,0.41,17.7,0.2924
cmrj2twn0055gwlwshb3y6i3d,"Chilli ginger lamb chops",meal,852.51,31.7,77.86,7.28,9.13,3.72,0.85,0.822
cmrj2tx2k058wwlwsds8g2gmc,"Keleya Zaara",meal,531.5,38.91,39.95,5.17,7.52,7.32,0.97,0.6765
