recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrj2toc603b9wlwss2z3v26s,"Arnhemse meisjes",meal,144.09,2.58,8.43,16.25,5.85,1.79,11.28,0.5268
cmrj2tods03bkwlwsj47bu5xy,"Arra të Mbushura me Fik Walnut Stuffed Figs (with Fig Syrup)",meal,394.1,8,32.8,23.9,8.32,2.03,6.06,0.749
cmrj2tohh03ccwlwsqtno35wa,"Authentic Laos Tapioca Pudding with Bananas",meal,129.42,0.99,3.84,24.16,2.96,0.76,18.67,0.2668
cmrj2tplh03l1wlws5gyl68vz,"Caribbean Tamarind balls",meal,338.1,0,0.1,89.5,0.03,0,26.47,0.0027
cmrj2tpo103ljwlwsdo7my366,"Cassava Cake",meal,413.76,1.75,1.41,100.55,0.34,0.42,24.3,0.0306
cmrj2tsev047hwlws9m44d8m6,"Jamaican Banana Fritters",meal,228.83,2.21,12.92,27.42,5.65,0.97,11.98,0.5083
cmrj2tskw048vwlws6c979ts2,"Jamaican Sweet Potato Pudding",meal,297.37,4.27,2.36,68.78,0.79,1.43,23.13,0.0714
cmrj2tt4c04d9wlws5ip65b66,"Laos Plantain Coconut Bake (Flourless Muffin)",meal,289.3,1.2,9.4,51.2,3.25,0.41,17.7,0.2924
cmrj2ttaz04e6wlwsunvgcp90,"Magwinya: Doughnut Bites from Botswana",meal,699.72,4.32,55.96,44.82,8,0.62,6.41,0.7198
cmrj2tyok05m2wlwst1uh8vwt,"Achiote Oil (Aceite Achiotado) Recipe",meal,996.8,0.5,109.2,3,10.96,0.05,0.3,0.986
cmrj2tzbn05r3wlwstzd6frs0,"Madombi: Dumplings from Botswana",meal,357.78,11.01,1.54,75.34,0.43,3.08,21.06,0.0388
cmrj2tzd105rewlwseisstowa,"Muraba-E-Kadu (Pumpkin Jam)",meal,981,6.4,2.1,242.8,0.21,0.65,24.75,0.0193
cmrj2u02705x0wlwsok2z8xl3,"Syrian Bread",meal,799.05,10.69,51.48,73.48,6.44,1.34,9.2,0.5798
cmrj2u0sx0631wlwsx84zyil7,"Syrian Spaghetti",meal,351.56,10.38,23.67,25.44,6.73,2.95,7.24,0.6058
cmrj2ua0o083kwlws3nclq0vi,"Algerian Carrots",meal,507.68,4.84,35.4,46.72,6.97,0.95,9.2,0.6276
cmrj2uacl0861wlwsq73zkxi3,"Bajan Salt Bread Recipe",meal,1534.74,43.7,19.75,296.89,1.29,2.85,19.34,0.1158
cmrj2uaj8087gwlwsssnykonm,"Boulangère Potatoes",meal,807.6,20,15.49,155.85,1.92,2.48,19.3,0.1726
cmrj2ub3t08c0wlwsqpb80uv0,"Corba",meal,242.5,11.3,8.14,34.01,3.36,4.66,14.03,0.3021
cmrj2uba708dgwlwssfpkdu9w,"Curried Spinach from Botswana",meal,186.54,3.59,14.59,13.48,7.82,1.92,7.23,0.704
cmrj2ubf408ekwlws5p5iy5o1,"Fainá",meal,633.51,22.45,33.96,58.12,5.36,3.54,9.17,0.4824
cmrj2ubnv08gfwlwso38bc2z9,"Griddled flatbreads",meal,1055.6,21.3,16.4,206.4,1.55,2.02,19.55,0.1398
cmrj2ubpc08gqwlwspidl00zi,"Haft Mewa Recipe",meal,839.8,18.7,41.4,117.1,4.93,2.23,13.94,0.4437
cmrj2ubui08hvwlws7bfm8f5s,"Jamaican Boiled Dumplings",meal,457.5,13.63,1.85,96.63,0.4,2.98,21.12,0.0364
cmrj2ucb308ljwlwshp004cle,"Lao Som Pak Pickled Cabbage",meal,188.5,10.71,1.1,43.27,0.58,5.68,22.95,0.0523
cmrj2uccf08lswlws07gd8p8x,"Mango chow",meal,62.62,2.61,0.41,15.49,0.65,4.18,24.75,0.0585
cmrj2ucic08n5wlws99n5bcto,"Num Ansom – Sticky Rice Cake",meal,1230.3,34.8,5.8,263.6,0.47,2.83,21.43,0.0424
cmrj2ucsg08pewlws564i92mo,"Sesame Cucumber Salad",meal,143.97,10.9,8.44,11.38,5.86,7.57,7.91,0.5277
cmrj2ucu808ptwlwsphnpz4dk,"Shawarma bread",meal,293.5,6.81,7.73,49.58,2.63,2.32,16.89,0.237
cmrj2ucxb08qhwlws21ulsvoz,"Smoky tomato pepper salsa",meal,238.51,2.48,21.19,11.39,8.88,1.04,4.78,0.7994
cmrj2uda108t6wlwsilch7ht4,"Venezuelan Arepas",meal,658.2,15.6,15,115.4,2.28,2.37,17.53,0.2051
cmrj2uddc08tywlwsfuz2kueg,"Ajo blanco",meal,1005.64,28.17,78.25,58.42,7.78,2.8,5.81,0.7003
cmrj2udt708xkwlwsal0t56cf,"Paracuca (Roasted Peanuts)",meal,2456.4,93.5,178.7,158,7.27,3.81,6.43,0.6547
cmrj2uduc08xtwlwsdxsv2yjq,"Simple heart of palm & tomato salad",meal,280.65,7.16,22.12,17.6,7.88,2.55,6.27,0.7092
cmrj2udvz08y6wlwsy6d0nbnp,"Fasoliyyeh Bi Z-Zayt (Syrian Green Beans with Olive Oil)",meal,161.35,2.69,14.2,7.52,8.8,1.67,4.66,0.7921
cmrj2udxf08yhwlws7zzndep6,"Padron peppers",meal,64.4,2.1,4,6.7,6.21,3.26,10.4,0.559
cmrj2udy808ymwlwsfpn3ddoy,"Red onion pickle",meal,406,8.5,8.5,96.4,2.09,2.09,23.74,0.1884
cmrj2udzy08yzwlws7xu4w51a,"Roast fennel and aubergine paella",meal,462.35,15.68,5.46,83.17,1.18,3.39,17.99,0.1064
cmrj2ue950910wlwspp7h0swp,"Air fryer patatas bravas",meal,306.01,6.79,11.04,47.44,3.61,2.22,15.5,0.3246
cmrj2ueb9091hwlwsoc14t9fu,"Aubergine & hummus grills",meal,502.66,13.06,38.76,32.57,7.71,2.6,6.48,0.694
cmrj2ueil0930wlwspr9stmgf,"Baingan Bharta",meal,85.67,1.88,5.42,8.8,6.33,2.2,10.27,0.5695
cmrj2uf1z0979wlwsp7yt4ea5,"Chtitha Batata (Algerian Potato Stew)",meal,107.68,4.07,7.67,8.38,7.13,3.78,7.79,0.6413
cmrj2ufhe09arwlws9peawd2c,"Easy White Bean Soup",meal,235.08,9.73,7.62,33.39,3.24,4.14,14.2,0.2917
cmrj2uftn09dkwlwshv9stl2k,"Falafel Pita Sandwich with Tahini Sauce",meal,1506.83,56.4,61.61,186.46,4.09,3.74,12.37,0.368
cmrj2ug1j09ffwlws4us85irt,"Gigantes Plaki",meal,501.09,24.02,11.71,79.6,2.34,4.79,15.89,0.2103
