recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrevpcz5004qwl5gt3aso51q,"Greek Yogurt, Almonds & Berries",snack,502.7,44.1,22.7,35,4.52,8.77,6.96,0.4064
cmrj2tnxy0387wlwsjmyvfcbr,"Æbleskiver",meal,435.67,7.91,13.08,73.26,3,1.82,16.82,0.2703
cmrj2to0o038swlwsqcl0kfzn,"Alfajores",meal,627.07,7.88,33.73,74.37,5.38,1.26,11.86,0.4841
cmrj2to2u0399wlwsaiwjlelw,"Anzac biscuits",meal,335.82,3.85,18.37,41.63,5.47,1.15,12.4,0.4923
cmrj2to4p039owlwsj6cqm0ks,"Apam balik",meal,904.2,25.41,17.2,163.05,1.9,2.81,18.03,0.1712
cmrj2to7403a7wlws8bk4awjq,"Apple & Blackberry Crumble",meal,310.41,5.18,14.1,41.6,4.54,1.67,13.4,0.4087
cmrj2to9p03aqwlwsksywsl6y,"Apple cake",meal,544.8,14.26,9.64,99.73,1.77,2.62,18.31,0.1593
cmrj2toc603b9wlwss2z3v26s,"Arnhemse meisjes",meal,144.09,2.58,8.43,16.25,5.85,1.79,11.28,0.5268
cmrj2tods03bkwlwsj47bu5xy,"Arra të Mbushura me Fik Walnut Stuffed Figs (with Fig Syrup)",meal,394.1,8,32.8,23.9,8.32,2.03,6.06,0.749
cmrj2tof403btwlwsm3c6y28s,"Arroz con Leche Recipe",meal,431.27,9.11,11.04,72.94,2.56,2.11,16.91,0.2303
cmrj2tohh03ccwlwsqtno35wa,"Authentic Laos Tapioca Pudding with Bananas",meal,129.42,0.99,3.84,24.16,2.96,0.76,18.67,0.2668
cmrj2toli03d6wlws2mjxfeeo,"Baghlaw-e-Khanagi",meal,609.93,13.49,17.73,100.07,2.91,2.21,16.41,0.2616
cmrj2tonu03dpwlwsmcxvf6e1,"Banana den Forno",meal,168.68,0.74,0.31,40.69,0.18,0.44,24.12,0.0163
cmrj2topb03e0wlwsd9g6lmnq,"Banana Pancakes",meal,67.43,2.18,4.08,6,6.05,3.23,8.89,0.5444
cmrj2tou803f4wlwsomeplmew,"Beetroot pancakes",meal,280.48,10.3,7.56,42.54,2.7,3.67,15.17,0.2426
cmrj2tox603frwlwszc4x2a3p,"Blackberry Fool",meal,562.7,5.68,35.33,57.86,6.28,1.01,10.28,0.5651
cmrj2tp0a03giwlwse2w5juov,"Blueberry & lemon friands",meal,241.5,4.87,15.82,22.12,6.55,2.02,9.16,0.5895
cmrj2tp2c03gxwlwsrst2lnb9,"Boterkoek (Dutch Butter Cake)",meal,533.69,6.65,26.26,68.65,4.92,1.25,12.86,0.4429
cmrj2tp4h03hcwlwsklc0smlr,"Brazilian carrot cake",meal,666.57,6.55,31.72,88.86,4.76,0.98,13.33,0.4283
cmrj2tp6u03hvwlwsaemxuoxj,"Brazilian chocolate truffles - brigadeiro",meal,326.12,7.09,19.21,33.96,5.89,2.18,10.41,0.5302
cmrj2tp8x03iawlwsqql4872g,"Breadfruit in Butter Sauce Recipe",meal,164.74,1.29,14.68,8.48,8.91,0.78,5.15,0.802
cmrj2tpcj03j3wlwsijopviop,"Budino Di Ricotta",meal,335.14,8.46,9.44,51.17,2.82,2.52,15.27,0.2534
cmrj2tpep03jkwlws3y0ireun,"Bulgarian Honey Cookies",meal,1265.54,10.01,96.26,96.56,7.61,0.79,7.63,0.6845
cmrj2tphm03k7wlwsknvdu89i,"Cambodian Waffles (Num Poum)",meal,148.7,2.9,2,30,1.34,1.95,20.17,0.121
