agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,cap200div2,424242,p000,HARD,true,none,7,4,2,413,238,210,119.000,472,7,6
A14,cap200div2,424242,p001,EASY,true,paleo,1,3,1,156,70,20,35.000,5,1,1
A14,cap200div2,424242,p002,EASY,true,kosher,1,4,1,418,418,5,200.000,40,1,1
A14,cap200div2,424242,p003,EASY,true,mediterranean,1,4,1,814,814,5,200.000,46,1,1
A14,cap200div2,424242,p004,IMPOSSIBLE,false,none,1,3,1,209,98,20,49.000,11,1,0
A14,cap200div2,424242,p005,HARD,true,keto,7,3,0,33,1,105,5.000,1,0,0
A14,cap200div2,424242,p006,HARD,true,none,1,4,2,516,516,6,200.000,54,1,1
A14,cap200div2,424242,p007,EASY,true,none,1,3,0,728,534,6,200.000,73,1,1
A14,cap200div2,424242,p008,ROBUSTNESS,true,vegan,1,3,2,169,169,10,84.000,10,1,1
A14,cap200div2,424242,p009,EASY,true,keto,1,4,0,22,22,4,11.000,0,1,1
A14,cap200div2,424242,p010,EASY,true,none,1,5,1,620,181,6,90.000,3,1,1
A14,cap200div2,424242,p011,EASY,true,none,1,3,0,659,462,3,200.000,25,1,1
A14,cap200div2,424242,p012,EASY,true,none,1,4,3,910,910,7,200.000,73,1,1
A14,cap200div2,424242,p013,HARD,true,none,1,4,2,281,281,6,140.000,21,1,1
A14,cap200div2,424242,p014,HARD,true,none,1,3,0,325,187,3,93.000,4,1,1
A14,cap200div2,424242,p015,EASY,true,none,1,2,0,642,642,2,200.000,5,1,1
A14,cap200div2,424242,p016,EASY,true,none,1,4,1,910,910,5,200.000,26,1,1
A14,cap200div2,424242,p017,HARD,true,paleo,1,5,1,75,72,30,36.000,8,1,0
A14,cap200div2,424242,p018,EASY,true,carnivore,7,3,1,3,3,140,5.000,1,2,0
A14,cap200div2,424242,p019,HARD,true,keto,1,3,2,17,12,5,6.000,0,1,1
A14,cap200div2,424242,p020,EASY,true,vegetarian,1,2,2,217,129,20,64.000,31,1,0
A14,cap200div2,424242,p021,EASY,true,none,1,4,1,520,520,5,200.000,84,1,1
A14,cap200div2,424242,p022,HARD,true,kosher,7,3,2,345,345,175,172.000,1456,7,1
A14,cap200div2,424242,p023,EASY,true,none,7,3,1,910,910,28,200.000,1183,7,7
A14,cap200div2,424242,p024,EASY,true,none,1,3,1,910,910,4,200.000,145,1,1
A14,cap200div2,424242,p025,EASY,true,none,1,4,3,343,343,14,171.000,41,1,1
A14,cap200div2,424242,p026,HARD,true,mediterranean,1,4,0,172,172,4,86.000,16,1,1
A14,cap200div2,424242,p027,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,10.000,2,1,0
A14,cap200div2,424242,p028,IMPOSSIBLE,false,halal,1,3,1,203,114,20,57.000,32,1,1
A14,cap200div2,424242,p029,EASY,true,none,1,2,1,910,910,3,200.000,127,1,1
A14,cap200div2,424242,p030,IMPOSSIBLE,false,vegan,1,3,1,20,17,20,8.000,1,1,0
A14,cap200div2,424242,p031,EASY,true,none,1,5,1,910,910,6,200.000,303,1,1
A14,cap200div2,424242,p032,EASY,true,none,1,3,1,564,564,4,200.000,65,1,1
A14,cap200div2,424242,p033,EASY,true,keto,1,4,3,53,50,7,25.000,3,1,1
A14,cap200div2,424242,p034,HARD,true,kosher,7,2,2,205,205,140,102.000,450,7,5
A14,cap200div2,424242,p035,EASY,true,mediterranean,1,3,2,532,532,5,200.000,84,1,1
A14,cap200div2,424242,p036,EASY,true,none,7,3,2,453,365,175,182.000,2209,7,1
A14,cap200div2,424242,p037,HARD,true,none,1,2,1,316,316,3,158.000,18,1,1
A14,cap200div2,424242,p038,EASY,true,none,1,3,1,426,426,4,200.000,27,1,1
A14,cap200div2,424242,p039,HARD,true,none,1,3,2,323,123,5,61.000,5,1,1
A14,cap200div2,424242,p040,HARD,true,none,1,4,2,234,234,30,117.000,144,1,1
A14,cap200div2,424242,p041,HARD,true,halal,1,4,2,252,110,6,55.000,8,1,1
A14,cap200div2,424242,p042,ROBUSTNESS,true,none,7,3,2,380,380,175,190.000,1228,7,6
A14,cap200div2,424242,p043,EASY,true,halal,1,4,0,489,273,4,136.000,41,1,1
A14,cap200div2,424242,p044,EASY,true,none,1,2,0,564,564,2,200.000,79,1,1
A14,cap200div2,424242,p045,IMPOSSIBLE,false,vegetarian,7,3,3,72,35,210,17.000,22,7,1
A14,cap200div2,424242,p046,EASY,true,paleo,1,3,0,166,156,3,78.000,10,1,1
A14,cap200div2,424242,p047,EASY,true,vegan,7,3,2,169,154,175,77.000,405,7,4
A14,cap200div2,424242,p048,EASY,true,none,1,3,1,910,603,4,200.000,145,1,1
A14,cap200div2,424242,p049,EASY,true,vegetarian,1,4,2,171,171,30,85.000,72,1,0
A14,cap200div2,424242,p050,EASY,true,none,1,5,3,301,301,8,150.000,70,1,1
A14,cap200div2,424242,p051,IMPOSSIBLE,false,vegan,7,3,0,20,20,105,10.000,6,7,0
A14,cap200div2,424242,p052,EASY,true,mediterranean,7,3,1,298,158,28,79.000,41,7,7
A14,cap200div2,424242,p053,EASY,true,none,1,3,2,564,564,25,200.000,255,1,1
A14,cap200div2,424242,p054,EASY,true,vegan,7,5,1,169,169,126,84.000,422,7,7
A14,cap200div2,424242,p055,EASY,true,none,7,2,1,642,601,21,200.000,602,7,7
A14,cap200div2,424242,p056,EASY,true,mediterranean,1,4,1,512,512,5,200.000,116,1,1
A14,cap200div2,424242,p057,HARD,true,none,1,4,0,171,171,4,85.000,16,1,1
A14,cap200div2,424242,p058,ROBUSTNESS,true,vegetarian,1,2,0,286,286,10,143.000,69,1,1
A14,cap200div2,424242,p059,IMPOSSIBLE,false,vegan,7,3,2,20,20,175,10.000,8,7,0
A14,cap200div2,424242,p060,HARD,true,mediterranean,1,4,1,578,234,5,117.000,21,1,1
A14,cap200div2,424242,p061,EASY,true,none,1,3,0,910,910,3,200.000,139,1,1
A14,cap200div2,424242,p062,EASY,true,none,1,3,0,910,910,3,200.000,131,1,1
A14,cap200div2,424242,p063,HARD,true,mediterranean,1,2,1,123,123,3,61.000,4,1,1
A14,cap200div2,424242,p064,EASY,true,paleo,1,3,1,106,34,20,17.000,3,1,0
A14,cap200div2,424242,p065,EASY,true,none,1,3,2,629,629,25,200.000,510,1,0
A14,cap200div2,424242,p066,IMPOSSIBLE,false,kosher,1,3,1,189,98,4,49.000,4,1,1
A14,cap200div2,424242,p067,EASY,true,keto,7,3,0,53,53,42,26.000,19,7,7
A14,cap200div2,424242,p068,EASY,true,none,1,4,0,910,910,4,200.000,195,1,1
A14,cap200div2,424242,p069,EASY,true,none,1,3,2,870,870,5,200.000,88,1,1
A14,cap200div2,424242,p070,HARD,true,none,7,5,2,273,153,245,76.000,743,7,5
A14,cap200div2,424242,p071,HARD,true,vegetarian,1,3,0,67,33,15,16.000,3,1,0
A14,cap200div2,424242,p072,IMPOSSIBLE,false,none,7,4,1,245,117,175,58.000,396,7,6
A14,cap200div2,424242,p073,IMPOSSIBLE,false,vegan,1,2,1,20,20,15,10.000,1,1,0
A14,cap200div2,424242,p074,HARD,true,none,1,5,1,442,442,6,200.000,118,1,1
A14,cap200div2,424242,p075,EASY,true,vegan,1,3,2,169,169,5,84.000,12,1,1
A14,cap200div2,424242,p076,EASY,true,none,1,3,1,910,910,4,200.000,136,1,1
A14,cap200div2,424242,p077,IMPOSSIBLE,false,vegan,1,4,3,20,20,35,10.000,2,1,0
A14,cap200div2,424242,p078,EASY,true,vegetarian,1,5,2,217,217,14,108.000,50,1,1
A14,cap200div2,424242,p079,HARD,true,keto,1,3,2,35,35,5,17.000,1,1,1
A14,cap200div2,424242,p080,IMPOSSIBLE,false,none,1,2,1,214,113,3,56.000,6,1,1
A14,cap200div2,424242,p081,HARD,true,none,1,3,1,218,218,20,109.000,82,1,1
A14,cap200div2,424242,p082,ROBUSTNESS,true,vegetarian,1,3,1,401,149,4,74.000,7,1,1
A14,cap200div2,424242,p083,IMPOSSIBLE,false,keto,1,3,0,22,5,3,5.000,1,1,1
A14,cap200div2,424242,p084,HARD,true,none,1,3,0,158,67,3,33.000,3,1,1
A14,cap200div2,424242,p085,ROBUSTNESS,true,none,1,2,0,265,251,2,125.000,22,1,1
A14,cap200div2,424242,p086,HARD,true,vegetarian,7,5,1,124,67,210,33.000,94,7,0
A14,cap200div2,424242,p087,HARD,true,none,1,3,0,255,164,3,82.000,14,1,1
A14,cap200div2,424242,p088,IMPOSSIBLE,false,paleo,1,3,0,24,5,15,5.000,0,1,0
A14,cap200div2,424242,p089,EASY,true,keto,7,4,1,53,53,175,26.000,75,7,5
A14,cap200div2,424242,p090,EASY,true,none,1,2,0,723,250,2,125.000,23,1,1
A14,cap200div2,424242,p091,EASY,true,halal,1,3,3,715,715,6,200.000,67,1,1
A14,cap200div2,424242,p092,EASY,true,none,1,3,1,749,508,12,200.000,70,1,1
A14,cap200div2,424242,p093,ROBUSTNESS,true,none,7,3,2,259,259,175,129.000,1332,7,1
A14,cap200div2,424242,p094,EASY,true,none,1,2,2,657,657,4,200.000,89,1,1
A14,cap200div2,424242,p095,EASY,true,paleo,1,3,1,166,122,20,61.000,30,1,0
A14,cap200div2,424242,p096,ROBUSTNESS,true,none,1,9,1,910,910,10,200.000,563,1,1
