agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,floor12,8675309,p000,HARD,true,none,7,4,2,413,238,210,20.000,118,7,5
A14,floor12,8675309,p001,EASY,true,paleo,1,3,1,156,70,20,12.000,2,1,1
A14,floor12,8675309,p002,EASY,true,kosher,1,4,1,418,418,10,20.000,11,1,1
A14,floor12,8675309,p003,EASY,true,mediterranean,1,4,1,814,814,5,20.000,9,1,1
A14,floor12,8675309,p004,IMPOSSIBLE,false,none,1,3,1,209,98,20,12.000,3,1,0
A14,floor12,8675309,p005,HARD,true,keto,7,3,0,33,1,105,12.000,0,0,0
A14,floor12,8675309,p006,HARD,true,none,1,4,2,516,516,6,20.000,7,1,1
A14,floor12,8675309,p007,EASY,true,none,1,3,0,728,534,6,20.000,9,1,1
A14,floor12,8675309,p008,ROBUSTNESS,true,vegan,1,3,2,169,169,5,16.000,1,1,1
A14,floor12,8675309,p009,EASY,true,keto,1,4,0,22,22,4,12.000,0,1,1
A14,floor12,8675309,p010,EASY,true,none,1,5,1,620,181,6,18.000,1,1,1
A14,floor12,8675309,p011,EASY,true,none,1,3,0,659,462,9,20.000,11,1,1
A14,floor12,8675309,p012,EASY,true,none,1,4,3,910,910,7,20.000,10,1,1
A14,floor12,8675309,p013,HARD,true,none,1,4,2,281,281,6,20.000,3,1,1
A14,floor12,8675309,p014,HARD,true,none,1,3,0,325,187,3,18.000,1,1,1
A14,floor12,8675309,p015,EASY,true,none,1,2,0,642,642,2,20.000,4,1,1
A14,floor12,8675309,p016,EASY,true,none,1,4,1,910,910,5,20.000,9,1,1
A14,floor12,8675309,p017,HARD,true,paleo,1,5,1,75,72,30,12.000,3,1,0
A14,floor12,8675309,p018,EASY,true,carnivore,7,3,1,3,3,140,12.000,0,2,0
A14,floor12,8675309,p019,HARD,true,keto,1,3,2,17,12,5,12.000,0,1,1
A14,floor12,8675309,p020,EASY,true,vegetarian,1,2,2,217,129,20,12.000,3,1,0
A14,floor12,8675309,p021,EASY,true,none,1,4,1,520,520,5,20.000,5,1,1
A14,floor12,8675309,p022,HARD,true,kosher,7,3,2,345,345,175,20.000,85,7,1
A14,floor12,8675309,p023,EASY,true,none,7,3,1,910,910,28,20.000,52,7,7
A14,floor12,8675309,p024,EASY,true,none,1,3,1,910,910,4,20.000,6,1,1
A14,floor12,8675309,p025,EASY,true,none,1,4,3,343,343,35,20.000,17,1,1
A14,floor12,8675309,p026,HARD,true,mediterranean,1,4,0,172,172,4,17.000,1,1,1
A14,floor12,8675309,p027,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,12.000,2,1,0
A14,floor12,8675309,p028,IMPOSSIBLE,false,halal,1,3,1,203,114,8,12.000,4,1,1
A14,floor12,8675309,p029,EASY,true,none,1,2,1,910,910,3,20.000,19,1,1
A14,floor12,8675309,p030,IMPOSSIBLE,false,vegan,1,3,1,20,17,20,12.000,1,1,0
A14,floor12,8675309,p031,EASY,true,none,1,5,1,910,910,12,20.000,70,1,1
A14,floor12,8675309,p032,EASY,true,none,1,3,1,564,564,4,20.000,15,1,1
A14,floor12,8675309,p033,EASY,true,keto,1,4,3,53,50,7,12.000,2,1,1
A14,floor12,8675309,p034,HARD,true,kosher,7,2,2,205,205,140,20.000,134,7,5
A14,floor12,8675309,p035,EASY,true,mediterranean,1,3,2,532,532,5,20.000,12,1,1
A14,floor12,8675309,p036,EASY,true,none,7,3,2,453,365,175,20.000,340,7,1
A14,floor12,8675309,p037,HARD,true,none,1,2,1,316,316,3,20.000,4,1,1
A14,floor12,8675309,p038,EASY,true,none,1,3,1,426,426,4,20.000,11,1,1
A14,floor12,8675309,p039,HARD,true,none,1,3,2,323,123,5,12.000,3,1,1
A14,floor12,8675309,p040,HARD,true,none,1,4,2,234,234,30,20.000,42,1,1
A14,floor12,8675309,p041,HARD,true,halal,1,4,2,252,110,6,12.000,3,1,1
A14,floor12,8675309,p042,ROBUSTNESS,true,none,7,3,2,380,380,105,20.000,136,7,7
A14,floor12,8675309,p043,EASY,true,halal,1,4,0,489,273,4,20.000,8,1,1
A14,floor12,8675309,p044,EASY,true,none,1,2,0,564,564,2,20.000,9,1,1
A14,floor12,8675309,p045,IMPOSSIBLE,false,vegetarian,7,3,3,72,35,210,12.000,19,7,1
A14,floor12,8675309,p046,EASY,true,paleo,1,3,0,166,156,6,15.000,5,1,1
A14,floor12,8675309,p047,EASY,true,vegan,7,3,2,169,154,175,15.000,108,7,4
A14,floor12,8675309,p048,EASY,true,none,1,3,1,910,603,4,20.000,16,1,1
A14,floor12,8675309,p049,EASY,true,vegetarian,1,4,2,171,171,30,17.000,21,1,0
A14,floor12,8675309,p050,EASY,true,none,1,5,3,301,301,8,20.000,15,1,1
A14,floor12,8675309,p051,IMPOSSIBLE,false,vegan,7,3,0,20,20,105,12.000,7,7,0
A14,floor12,8675309,p052,EASY,true,mediterranean,7,3,1,298,158,28,15.000,17,7,7
A14,floor12,8675309,p053,EASY,true,none,1,3,2,564,564,15,20.000,43,1,1
A14,floor12,8675309,p054,EASY,true,vegan,7,5,1,169,169,210,16.000,163,7,6
A14,floor12,8675309,p055,EASY,true,none,7,2,1,642,601,21,20.000,68,7,7
A14,floor12,8675309,p056,EASY,true,mediterranean,1,4,1,512,512,5,20.000,14,1,1
A14,floor12,8675309,p057,HARD,true,none,1,4,0,171,171,4,17.000,5,1,1
A14,floor12,8675309,p058,ROBUSTNESS,true,vegetarian,1,2,0,286,286,10,20.000,13,1,1
A14,floor12,8675309,p059,IMPOSSIBLE,false,vegan,7,3,2,20,20,175,12.000,7,7,0
A14,floor12,8675309,p060,HARD,true,mediterranean,1,4,1,578,234,5,20.000,5,1,1
A14,floor12,8675309,p061,EASY,true,none,1,3,0,910,910,15,20.000,93,1,1
A14,floor12,8675309,p062,EASY,true,none,1,3,0,910,910,6,20.000,40,1,1
A14,floor12,8675309,p063,HARD,true,mediterranean,1,2,1,123,123,6,12.000,2,1,1
A14,floor12,8675309,p064,EASY,true,paleo,1,3,1,106,34,20,12.000,4,1,0
A14,floor12,8675309,p065,EASY,true,none,1,3,2,629,629,10,20.000,25,1,1
A14,floor12,8675309,p066,IMPOSSIBLE,false,kosher,1,3,1,189,98,4,12.000,2,1,1
A14,floor12,8675309,p067,EASY,true,keto,7,3,0,53,53,105,12.000,27,7,6
A14,floor12,8675309,p068,EASY,true,none,1,4,0,910,910,4,20.000,29,1,1
A14,floor12,8675309,p069,EASY,true,none,1,3,2,870,870,5,20.000,18,1,1
A14,floor12,8675309,p070,HARD,true,none,7,5,2,273,153,245,15.000,180,7,5
A14,floor12,8675309,p071,HARD,true,vegetarian,1,3,0,67,33,15,12.000,2,1,0
A14,floor12,8675309,p072,IMPOSSIBLE,false,none,7,4,1,245,117,175,12.000,95,7,6
A14,floor12,8675309,p073,IMPOSSIBLE,false,vegan,1,2,1,20,20,15,12.000,2,1,0
A14,floor12,8675309,p074,HARD,true,none,1,5,1,442,442,6,20.000,19,1,1
A14,floor12,8675309,p075,EASY,true,vegan,1,3,2,169,169,10,16.000,5,1,1
A14,floor12,8675309,p076,EASY,true,none,1,3,1,910,910,4,20.000,16,1,1
A14,floor12,8675309,p077,IMPOSSIBLE,false,vegan,1,4,3,20,20,35,12.000,2,1,0
A14,floor12,8675309,p078,EASY,true,vegetarian,1,5,2,217,217,7,20.000,6,1,1
A14,floor12,8675309,p079,HARD,true,keto,1,3,2,35,35,5,12.000,1,1,1
A14,floor12,8675309,p080,IMPOSSIBLE,false,none,1,2,1,214,113,3,12.000,2,1,1
A14,floor12,8675309,p081,HARD,true,none,1,3,1,218,218,4,20.000,4,1,1
A14,floor12,8675309,p082,ROBUSTNESS,true,vegetarian,1,3,1,401,149,4,14.000,2,1,1
A14,floor12,8675309,p083,IMPOSSIBLE,false,keto,1,3,0,22,5,3,12.000,1,1,1
A14,floor12,8675309,p084,HARD,true,none,1,3,0,158,67,3,12.000,1,1,1
A14,floor12,8675309,p085,ROBUSTNESS,true,none,1,2,0,265,251,2,20.000,5,1,1
A14,floor12,8675309,p086,HARD,true,vegetarian,7,5,1,124,67,210,12.000,42,7,0
A14,floor12,8675309,p087,HARD,true,none,1,3,0,255,164,3,16.000,3,1,1
A14,floor12,8675309,p088,IMPOSSIBLE,false,paleo,1,3,0,24,5,15,12.000,1,1,0
A14,floor12,8675309,p089,EASY,true,keto,7,4,1,53,53,175,12.000,36,7,5
A14,floor12,8675309,p090,EASY,true,none,1,2,0,723,250,8,20.000,18,1,1
A14,floor12,8675309,p091,EASY,true,halal,1,3,3,715,715,6,20.000,17,1,1
A14,floor12,8675309,p092,EASY,true,none,1,3,1,749,508,4,20.000,10,1,1
A14,floor12,8675309,p093,ROBUSTNESS,true,none,7,3,2,259,259,175,20.000,247,7,1
A14,floor12,8675309,p094,EASY,true,none,1,2,2,657,657,4,20.000,10,1,1
A14,floor12,8675309,p095,EASY,true,paleo,1,3,1,166,122,20,12.000,7,1,0
A14,floor12,8675309,p096,ROBUSTNESS,true,none,1,9,1,910,910,50,20.000,317,1,1
A14,floor12,8675309,p097,EASY,true,none,1,3,1,272,272,4,20.000,4,1,1
A14,floor12,8675309,p098,EASY,true,vegetarian,1,3,0,174,90,15,12.000,6,1,0
A14,floor12,8675309,p099,EASY,true,none,1,3,2,910,910,5,20.000,20,1,1
A14,floor12,8675309,p100,IMPOSSIBLE,false,mediterranean,1,3,3,212,105,30,12.000,8,1,0
A14,floor12,8675309,p101,ROBUSTNESS,true,none,1,3,1,910,910,4,20.000,21,1,1
A14,floor12,8675309,p102,EASY,true,mediterranean,1,3,1,814,324,4,20.000,8,1,1
A14,floor12,8675309,p103,IMPOSSIBLE,false,keto,1,4,1,19,5,5,12.000,1,1,1
A14,floor12,8675309,p104,EASY,true,keto,7,3,1,36,36,140,12.000,17,7,4
A14,floor12,8675309,p105,EASY,true,kosher,1,3,1,459,241,20,20.000,29,1,0
A14,floor12,8675309,p106,HARD,true,none,1,3,1,408,390,4,20.000,10,1,1
