agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,smoke,424242,p000,HARD,true,none,7,4,2,413,238,210,20.000,128,7,5
A14,smoke,424242,p001,EASY,true,paleo,1,3,1,156,70,20,7.000,1,1,1
A14,smoke,424242,p002,EASY,true,kosher,1,4,1,418,418,10,20.000,12,1,1
A14,smoke,424242,p003,EASY,true,mediterranean,1,4,1,814,814,5,20.000,9,1,1
A14,smoke,424242,p004,IMPOSSIBLE,false,none,1,3,1,209,98,20,9.000,3,1,0
A14,smoke,424242,p005,HARD,true,keto,7,3,0,33,1,105,5.000,1,0,0
A14,smoke,424242,p006,HARD,true,none,1,4,2,516,516,6,20.000,7,1,1
A14,smoke,424242,p007,EASY,true,none,1,3,0,728,534,15,20.000,23,1,1
A14,smoke,424242,p008,ROBUSTNESS,true,vegan,1,3,2,169,169,5,16.000,2,1,1
A14,smoke,424242,p009,EASY,true,keto,1,4,0,22,22,4,5.000,0,1,1
A14,smoke,424242,p010,EASY,true,none,1,5,1,620,181,6,18.000,2,1,1
A14,smoke,424242,p011,EASY,true,none,1,3,0,659,462,9,20.000,10,1,1
A14,smoke,424242,p012,EASY,true,none,1,4,3,910,910,14,20.000,25,1,1
A14,smoke,424242,p013,HARD,true,none,1,4,2,281,281,6,20.000,5,1,1
A14,smoke,424242,p014,HARD,true,none,1,3,0,325,187,3,18.000,2,1,1
A14,smoke,424242,p015,EASY,true,none,1,2,0,642,642,2,20.000,3,1,1
A14,smoke,424242,p016,EASY,true,none,1,4,1,910,910,5,20.000,11,1,1
A14,smoke,424242,p017,HARD,true,paleo,1,5,1,75,72,30,7.000,2,1,0
A14,smoke,424242,p018,EASY,true,carnivore,7,3,1,3,3,140,5.000,1,2,0
A14,smoke,424242,p019,HARD,true,keto,1,3,2,17,12,5,5.000,0,1,1
A14,smoke,424242,p020,EASY,true,vegetarian,1,2,2,217,129,20,12.000,3,1,0
A14,smoke,424242,p021,EASY,true,none,1,4,1,520,520,5,20.000,5,1,1
A14,smoke,424242,p022,HARD,true,kosher,7,3,2,345,345,175,20.000,94,7,1
A14,smoke,424242,p023,EASY,true,none,7,3,1,910,910,28,20.000,60,7,7
A14,smoke,424242,p024,EASY,true,none,1,3,1,910,910,4,20.000,7,1,1
A14,smoke,424242,p025,EASY,true,none,1,4,3,343,343,35,20.000,28,1,1
A14,smoke,424242,p026,HARD,true,mediterranean,1,4,0,172,172,4,17.000,4,1,1
A14,smoke,424242,p027,IMPOSSIBLE,false,vegan,1,3,1,20,20,20,5.000,1,1,0
A14,smoke,424242,p028,IMPOSSIBLE,false,halal,1,3,1,203,114,4,11.000,1,1,1
A14,smoke,424242,p029,EASY,true,none,1,2,1,910,910,3,20.000,6,1,1
