variant,arm,note,seed,sat_base,sat_treat,sat_n,delta_pts,ci_lo,ci_hi,b,c
w-equal,weights,"flat 0.25 each",424242,,,,,,,,
w-graderline,weights,"equal cost AT the grader line",424242,,,,,,,,
w-fatheavy,weights,"fat up, protein down",424242,,,,,,,,
w-fatcarb,weights,"fat+carb dominate",424242,,,,,,,,
w-kcalonly,weights,"extreme: kcal only (destructive probe)",424242,,,,,,,,
c-strict,slot-comp,"COMPOSITION_GOOD_ENOUGH 0.05 -> 0 (no early accept)",424242,,,,,,,,
c-firstfit,slot-comp,"NEGATIVE CONTROL: 0.05 -> 999, pure first-fit",424242,,,,,,,,
s-fallbackcomp,structural,"no-fit fallback ranks on worstRatio + compositionDistance",424242,,,,,,,,
p-slotsym,hinge,"NEGATIVE CONTROL: slot protein hinge -> symmetric",424242,,,,,,,,
p-daysym,hinge,"NEGATIVE CONTROL: day protein hinge -> symmetric",424242,,,,,,,,
