persona,tier,diet,satisfiable,dayOfWeek,inTolerance,binding,slots,filled,unfilled,pinnedAny,pinnedMax,pinnedMin,keto,kcalDeltaPct,proteinShortPct,fatShortPct,fatOverPct,carbShortPct,carbOverPct,poolAfterStack
p005,HARD,keto,true,0,false,POOL_EXHAUSTED,3,0,3,0,0,0,true,-1,1,0.89,0,0.5,0,1
p005,HARD,keto,true,1,false,POOL_EXHAUSTED,3,0,3,0,0,0,true,-1,1,0.89,0,0.5,0,1
p005,HARD,keto,true,2,false,POOL_EXHAUSTED,3,0,3,0,0,0,true,-1,1,0.89,0,0.5,0,1
p005,HARD,keto,true,3,false,POOL_EXHAUSTED,3,0,3,0,0,0,true,-1,1,0.89,0,0.5,0,1
p005,HARD,keto,true,4,false,POOL_EXHAUSTED,3,0,3,0,0,0,true,-1,1,0.89,0,0.5,0,1
p005,HARD,keto,true,5,false,POOL_EXHAUSTED,3,0,3,0,0,0,true,-1,1,0.89,0,0.5,0,1
p005,HARD,keto,true,6,false,POOL_EXHAUSTED,3,0,3,0,0,0,true,-1,1,0.89,0,0.5,0,1
p000,HARD,none,true,3,false,PINNED_AT_BOUND,6,6,0,2,2,2,false,0.231,0.011,0,0.903,0,0.089,238
p004,IMPOSSIBLE,none,false,3,false,STRUCTURAL,4,4,0,1,1,0,false,0.052,0,0,0,0,0.696,98
p007,EASY,none,true,3,false,PINNED_AT_BOUND,3,3,0,2,2,1,false,0.069,0,0,0,0,1.264,342
p018,EASY,carnivore,true,0,false,POOL_EXHAUSTED,4,0,4,0,0,0,false,-1,1,0.923,0,0.919,0,3
p018,EASY,carnivore,true,1,false,POOL_EXHAUSTED,4,0,4,0,0,0,false,-1,1,0.923,0,0.919,0,3
p018,EASY,carnivore,true,2,false,POOL_EXHAUSTED,4,3,1,3,0,3,false,0.268,0,0,1.542,0,0,3
p018,EASY,carnivore,true,3,false,POOL_EXHAUSTED,4,0,4,0,0,0,false,-1,1,0.923,0,0.919,0,3
p018,EASY,carnivore,true,4,false,POOL_EXHAUSTED,4,0,4,0,0,0,false,-1,1,0.923,0,0.919,0,3
p018,EASY,carnivore,true,5,false,POOL_EXHAUSTED,4,3,1,1,0,1,false,-0.049,0,0,1.404,0.519,0,3
p018,EASY,carnivore,true,6,false,POOL_EXHAUSTED,4,0,4,0,0,0,false,-1,1,0.923,0,0.919,0,3
p017,HARD,paleo,true,3,false,PINNED_AT_BOUND,6,6,0,3,0,3,false,0.105,0.002,0,0,0,0.781,72
p022,HARD,kosher,true,0,false,PINNED_AT_BOUND,5,5,0,4,2,2,false,0.046,0,0,0.534,0,0,345
p022,HARD,kosher,true,1,false,PINNED_AT_BOUND,5,5,0,2,0,2,false,0.149,0.005,0,0.127,0,0.321,345
p022,HARD,kosher,true,2,false,PINNED_AT_BOUND,5,5,0,2,0,2,false,0.058,0,0,0.347,0,0,345
p022,HARD,kosher,true,3,false,PINNED_AT_BOUND,5,5,0,3,3,2,false,0.253,0.02,0,1.123,0,0.109,345
p022,HARD,kosher,true,4,false,FAT_OUT_OF_BAND,5,5,0,0,0,0,false,0.03,0,0,0.309,0,0,345
p022,HARD,kosher,true,5,false,PINNED_AT_BOUND,5,5,0,3,1,2,false,0.259,0,0,0.692,0,0.317,345
