id	kind	horizon	outcome	afterDiet_rec	afterDiet_fleet	match	targetKcal	proteinFloor	maxP@ceiling	shortfallG	verdict	days	daysInBand
p004	floor-vs-rate	day	ok	209	209	true	2221	232.5	566.6	-334.1	NOT-PROVEN(feasible upper bound clears floor)	1	0
p027	every-protein-walled	day	ok	20	20	true	1234	117.3	80.6	36.7	PROVEN-INFEASIBLE	1	0
p028	floor-vs-rate	day	ok	203	203	true	1709	170.8	436	-265.1	NOT-PROVEN(feasible upper bound clears floor)	1	1
p030	every-protein-walled	day	ok	20	20	true	1500	88.4	98	-9.6	NOT-PROVEN(feasible upper bound clears floor)	1	0
p045	floor-vs-rate	week	ok	72	72	true	2147	164	249.1	-85	NOT-PROVEN(feasible upper bound clears floor)	7	1
p051	every-protein-walled	week	ok	20	20	true	1500	122.8	98	24.9	PROVEN-INFEASIBLE	7	0
p059	every-protein-walled	week	ok	20	20	true	1200	85	78.4	6.6	PROVEN-INFEASIBLE	7	0
p066	floor-vs-rate	day	ok	189	189	true	2321	171.7	354.5	-182.8	NOT-PROVEN(feasible upper bound clears floor)	1	1
p072	floor-vs-rate	week	ok	245	245	true	1500	134.7	382.7	-247.9	NOT-PROVEN(feasible upper bound clears floor)	7	6
p073	every-protein-walled	day	ok	20	20	true	1512	157.7	98.7	58.9	PROVEN-INFEASIBLE	1	0
p077	every-protein-walled	day	ok	20	20	true	2923	209.5	190.9	18.6	PROVEN-INFEASIBLE	1	0
p080	floor-vs-rate	day	ok	214	214	true	1537	134.7	392.1	-257.4	NOT-PROVEN(feasible upper bound clears floor)	1	1
p083	floor-vs-rate	day	ok	22	22	true	2054	109.6	524	-414.3	NOT-PROVEN(feasible upper bound clears floor)	1	1
p088	floor-vs-rate	day	ok	24	24	true	2260	156	576.6	-420.6	NOT-PROVEN(feasible upper bound clears floor)	1	0
p100	floor-vs-rate	day	profile-blocked-400	212		false					NO-PLAN(profile-blocked-400)	0	0
p103	floor-vs-rate	day	ok	19	19	true	1311	112.2	199.5	-87.3	NOT-PROVEN(feasible upper bound clears floor)	1	1
p108	every-protein-walled	day	ok	20	20	true	1792	173.8	117	56.8	PROVEN-INFEASIBLE	1	0
p109	floor-vs-rate	week	ok	199	199	true	1781	202.3	454.4	-252.1	NOT-PROVEN(feasible upper bound clears floor)	7	6
p130	every-protein-walled	week	ok	20	20	true	1657	141.1	108.2	32.9	PROVEN-INFEASIBLE	7	0
p133	every-protein-walled	day	ok	20	20	true	1388	122	90.6	31.3	PROVEN-INFEASIBLE	1	0
p155	every-protein-walled	day	profile-blocked-400	20		false					NO-PLAN(profile-blocked-400)	0	0
p160	floor-vs-rate	day	ok	165	165	true	2016	156	306.7	-150.7	NOT-PROVEN(feasible upper bound clears floor)	1	1
p175	every-protein-walled	day	ok	20	20	true	1500	90.1	98	-7.9	NOT-PROVEN(feasible upper bound clears floor)	1	0
p184	every-protein-walled	day	ok	20	20	true	2187	172.1	142.8	29.3	PROVEN-INFEASIBLE	1	0
p208	every-protein-walled	day	ok	20	20	true	4939	221	322.6	-101.6	NOT-PROVEN(feasible upper bound clears floor)	1	0
p211	every-protein-walled	week	ok	20	20	true	2356	178.1	153.9	24.2	PROVEN-INFEASIBLE	7	0
p212	floor-vs-rate	day	ok	72	72	true	1646	113	191	-77.9	NOT-PROVEN(feasible upper bound clears floor)	1	1
p219	floor-vs-rate	day	profile-blocked-400	48		false					NO-PLAN(profile-blocked-400)	0	0
p220	every-protein-walled	day	ok	20	20	true	2323	214.6	151.7	62.9	PROVEN-INFEASIBLE	1	0
p222	every-protein-walled	week	ok	20	20	true	1946	147	127.1	20	PROVEN-INFEASIBLE	7	0
p227	every-protein-walled	week	ok	20	20	true	1297	95.2	84.7	10.5	PROVEN-INFEASIBLE	7	0
p248	every-protein-walled	day	ok	12	12	true	3124	219.3	204	15.3	PROVEN-INFEASIBLE	1	0
